=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
Vitesse du vent;37.42;km/h;9
Humidité du sol;62.89;%;4
pH du sol;6.35;pH;5
Pluviométrie;1.61;mm;7
Luminosité;11940.88;lux;8
Humidité du sol;44.25;%;4
pH du sol;6.65;pH;5
Pluviométrie;7.64;mm;7
Luminosité;35870.24;lux;8
Vitesse du vent;35.0;km/h;9
Humidité du sol;60.78;%;4
pH du sol;6.27;pH;5
Pluviométrie;6.45;mm;7
Luminosité;71157.29;lux;8
Vitesse du vent;21.23;km/h;9
Humidité du sol;78.67;%;4
pH du sol;7.23;pH;5
Pluviométrie;6.99;mm;7
Luminosité;92282.54;lux;8
Vitesse du vent;9.75;km/h;9
pH du sol;6.77;pH;5
Pluviométrie;1.12;mm;7
Luminosité;42023.96;lux;8
Vitesse du vent;44.39;km/h;9
Humidité du sol;70.16;%;4
Humidité du sol;51.8;%;4
pH du sol;6.53;pH;5
Pluviométrie;8.57;mm;7
Luminosité;64594.82;lux;8
Vitesse du vent;4.68;km/h;9
Humidité du sol;43.73;%;4
pH du sol;7.23;pH;5
Pluviométrie;1.43;mm;7
Luminosité;94861.43;lux;8
Vitesse du vent;47.78;km/h;9
Humidité du sol;76.49;%;4
pH du sol;6.18;pH;5
Pluviométrie;9.66;mm;7
Luminosité;85936.64;lux;8
Vitesse du vent;35.3;km/h;9
Humidité du sol;64.21;%;4
pH du sol;6.02;pH;5
Pluviométrie;5.37;mm;7
Luminosité;5125.74;lux;8
Vitesse du vent;22.04;km/h;9
Humidité du sol;45.0;%;4
pH du sol;6.02;pH;5
Pluviométrie;4.37;mm;7
Luminosité;34843.15;lux;8
Vitesse du vent;15.86;km/h;9
Humidité du sol;74.68;%;4
pH du sol;6.24;pH;5
Pluviométrie;0.94;mm;7
Luminosité;15173.33;lux;8
Vitesse du vent;47.99;km/h;9
Humidité du sol;72.76;%;4
pH du sol;6.49;pH;5
Pluviométrie;7.73;mm;7
Luminosité;89279.73;lux;8
Vitesse du vent;48.12;km/h;9
Humidité du sol;55.91;%;4
pH du sol;7.46;pH;5
Pluviométrie;6.69;mm;7
Luminosité;5059.64;lux;8
Vitesse du vent;12.33;km/h;9
Humidité du sol;78.64;%;4
pH du sol;7.11;pH;5
Pluviométrie;8.64;mm;7
Luminosité;11721.08;lux;8
Vitesse du vent;8.95;km/h;9
Humidité du sol;66.72;%;4
pH du sol;7.36;pH;5
Pluviométrie;0.26;mm;7
Luminosité;50034.9;lux;8
Vitesse du vent;17.89;km/h;9
Humidité du sol;41.23;%;4
pH du sol;6.14;pH;5
Pluviométrie;8.7;mm;7
Luminosité;40082.34;lux;8
Vitesse du vent;7.9;km/h;9
Humidité du sol;66.67;%;4
pH du sol;6.76;pH;5
Pluviométrie;2.16;mm;7
Luminosité;68035.06;lux;8
Vitesse du vent;40.38;km/h;9
Humidité du sol;75.58;%;4
pH du sol;6.8;pH;5
Pluviométrie;7.5;mm;7
Luminosité;89428.77;lux;8
Vitesse du vent;17.31;km/h;9
Humidité du sol;73.65;%;4
pH du sol;7.09;pH;5
Pluviométrie;9.77;mm;7
Luminosité;51799.21;lux;8
Vitesse du vent;47.43;km/h;9
Humidité du sol;49.21;%;4
pH du sol;6.16;pH;5
Pluviométrie;3.0;mm;7
Luminosité;17550.47;lux;8
Vitesse du vent;40.7;km/h;9
Humidité du sol;74.34;%;4
pH du sol;6.91;pH;5
Pluviométrie;2.88;mm;7
Luminosité;39914.34;lux;8
Vitesse du vent;46.86;km/h;9
Humidité du sol;78.9;%;4
pH du sol;6.09;pH;5
Pluviométrie;7.28;mm;7
Luminosité;61586.55;lux;8
Vitesse du vent;7.51;km/h;9
Pluviométrie;4.97;mm;7
Luminosité;87910.76;lux;8
Vitesse du vent;3.51;km/h;9
Humidité du sol;63.91;%;4
pH du sol;7.48;pH;5
Humidité du sol;48.02;%;4
pH du sol;6.39;pH;5
Pluviométrie;1.94;mm;7
Luminosité;92896.94;lux;8
Vitesse du vent;13.24;km/h;9
Humidité du sol;75.59;%;4
pH du sol;6.06;pH;5
Pluviométrie;5.46;mm;7
Luminosité;52308.18;lux;8
Vitesse du vent;22.91;km/h;9
Humidité du sol;77.19;%;4
pH du sol;6.94;pH;5
Pluviométrie;4.13;mm;7
Luminosité;81676.32;lux;8
Vitesse du vent;42.98;km/h;9
Humidité du sol;72.33;%;4
pH du sol;6.22;pH;5
Pluviométrie;0.4;mm;7
Luminosité;32352.89;lux;8
Vitesse du vent;0.59;km/h;9
Vitesse du vent;41.2;km/h;9
Humidité du sol;66.18;%;4
pH du sol;6.48;pH;5
Pluviométrie;1.71;mm;7
Luminosité;37799.96;lux;8
Humidité du sol;73.3;%;4
pH du sol;6.12;pH;5
Pluviométrie;8.11;mm;7
Luminosité;95222.01;lux;8
Vitesse du vent;5.6;km/h;9
Humidité du sol;65.88;%;4
pH du sol;6.36;pH;5
Pluviométrie;9.61;mm;7
Luminosité;72693.18;lux;8
Vitesse du vent;4.72;km/h;9
Humidité du sol;72.76;%;4
pH du sol;6.94;pH;5
Pluviométrie;0.41;mm;7
Luminosité;39744.73;lux;8
Vitesse du vent;47.46;km/h;9
Humidité du sol;62.89;%;4
pH du sol;6.56;pH;5
Pluviométrie;3.48;mm;7
Luminosité;31718.16;lux;8
Vitesse du vent;15.36;km/h;9
Humidité du sol;67.49;%;4
pH du sol;6.35;pH;5
Pluviométrie;9.77;mm;7
Luminosité;60371.14;lux;8
Vitesse du vent;26.22;km/h;9
Humidité du sol;51.83;%;4
pH du sol;7.0;pH;5
Pluviométrie;4.14;mm;7
Luminosité;91315.76;lux;8
Vitesse du vent;14.07;km/h;9
Humidité du sol;63.44;%;4
pH du sol;6.16;pH;5
Pluviométrie;1.72;mm;7
Luminosité;53585.88;lux;8
Vitesse du vent;28.8;km/h;9
Humidité du sol;55.43;%;4
pH du sol;6.73;pH;5
Pluviométrie;8.84;mm;7
Luminosité;19998.77;lux;8
Vitesse du vent;45.91;km/h;9
Humidité du sol;47.67;%;4
pH du sol;6.34;pH;5
Pluviométrie;2.8;mm;7
Luminosité;26794.97;lux;8
Vitesse du vent;5.32;km/h;9
Humidité du sol;72.58;%;4
pH du sol;6.75;pH;5
Pluviométrie;9.6;mm;7
Luminosité;87612.23;lux;8
Vitesse du vent;25.97;km/h;9
Humidité du sol;56.16;%;4
pH du sol;6.54;pH;5
Pluviométrie;3.08;mm;7
Luminosité;4848.53;lux;8
Vitesse du vent;46.01;km/h;9
Humidité du sol;56.08;%;4
pH du sol;6.58;pH;5
Pluviométrie;1.86;mm;7
Luminosité;30850.77;lux;8
Vitesse du vent;30.35;km/h;9
Humidité du sol;46.01;%;4
pH du sol;6.59;pH;5
Pluviométrie;5.39;mm;7
Luminosité;32245.09;lux;8
Vitesse du vent;40.33;km/h;9
Humidité du sol;44.64;%;4
pH du sol;6.64;pH;5
Pluviométrie;9.06;mm;7
Luminosité;70652.52;lux;8
Vitesse du vent;36.63;km/h;9
Humidité du sol;67.08;%;4
pH du sol;7.12;pH;5
Pluviométrie;5.55;mm;7
Luminosité;37637.47;lux;8
Vitesse du vent;47.69;km/h;9
Humidité du sol;76.88;%;4
pH du sol;6.06;pH;5
Pluviométrie;8.16;mm;7
Luminosité;62184.46;lux;8
Vitesse du vent;10.08;km/h;9
Humidité du sol;47.55;%;4
pH du sol;6.16;pH;5
Pluviométrie;7.18;mm;7
Luminosité;75242.32;lux;8
Vitesse du vent;4.95;km/h;9
Humidité du sol;62.37;%;4
pH du sol;6.78;pH;5
Pluviométrie;1.05;mm;7
Luminosité;32131.95;lux;8
Vitesse du vent;20.18;km/h;9
Humidité du sol;45.51;%;4
pH du sol;6.24;pH;5
Pluviométrie;5.71;mm;7
Luminosité;66124.9;lux;8
Vitesse du vent;25.35;km/h;9
Humidité du sol;76.79;%;4
pH du sol;6.03;pH;5
Pluviométrie;2.35;mm;7
Luminosité;74789.28;lux;8
Vitesse du vent;0.06;km/h;9
Humidité du sol;76.0;%;4
pH du sol;7.15;pH;5
Pluviométrie;8.9;mm;7
Luminosité;45005.69;lux;8
Vitesse du vent;41.35;km/h;9
Humidité du sol;57.04;%;4
pH du sol;7.16;pH;5
Pluviométrie;4.61;mm;7
Luminosité;15861.73;lux;8
Vitesse du vent;40.78;km/h;9
Humidité du sol;41.13;%;4
pH du sol;7.21;pH;5
Pluviométrie;6.77;mm;7
Luminosité;36837.23;lux;8
Vitesse du vent;37.08;km/h;9
Humidité du sol;68.9;%;4
pH du sol;7.19;pH;5
Pluviométrie;0.5;mm;7
Luminosité;48366.11;lux;8
Vitesse du vent;41.1;km/h;9
Humidité du sol;60.08;%;4
pH du sol;6.81;pH;5
Pluviométrie;5.29;mm;7
Luminosité;53700.14;lux;8
Vitesse du vent;26.65;km/h;9
Humidité du sol;75.55;%;4
pH du sol;6.3;pH;5
Pluviométrie;9.07;mm;7
Luminosité;98060.27;lux;8
Vitesse du vent;41.81;km/h;9
Humidité du sol;65.73;%;4
pH du sol;6.35;pH;5
Pluviométrie;1.13;mm;7
Luminosité;98095.67;lux;8
Vitesse du vent;13.43;km/h;9
Humidité du sol;78.51;%;4
pH du sol;7.48;pH;5
Pluviométrie;8.7;mm;7
Luminosité;34918.78;lux;8
Vitesse du vent;36.28;km/h;9
Humidité du sol;72.4;%;4
pH du sol;6.27;pH;5
Pluviométrie;4.51;mm;7
Luminosité;68902.79;lux;8
Vitesse du vent;20.2;km/h;9
Humidité du sol;65.93;%;4
pH du sol;6.7;pH;5
Pluviométrie;1.7;mm;7
Luminosité;1218.99;lux;8
Vitesse du vent;17.13;km/h;9
Humidité du sol;48.03;%;4
pH du sol;6.28;pH;5
Pluviométrie;6.62;mm;7
Luminosité;58932.66;lux;8
Vitesse du vent;48.95;km/h;9
Humidité du sol;62.31;%;4
pH du sol;6.26;pH;5
Pluviométrie;4.45;mm;7
Luminosité;31576.75;lux;8
Vitesse du vent;34.61;km/h;9
Humidité du sol;61.98;%;4
pH du sol;6.73;pH;5
Pluviométrie;0.37;mm;7
Luminosité;78033.09;lux;8
Vitesse du vent;41.22;km/h;9
Pluviométrie;5.67;mm;7
Luminosité;56539.82;lux;8
Vitesse du vent;10.71;km/h;9
Humidité du sol;79.02;%;4
pH du sol;7.14;pH;5
Humidité du sol;73.1;%;4
pH du sol;6.36;pH;5
Pluviométrie;6.08;mm;7
Luminosité;71182.51;lux;8
Vitesse du vent;5.84;km/h;9
Humidité du sol;77.09;%;4
pH du sol;6.01;pH;5
Pluviométrie;1.8;mm;7
Luminosité;50468.59;lux;8
Vitesse du vent;33.45;km/h;9
Humidité du sol;67.05;%;4
pH du sol;6.76;pH;5
Pluviométrie;8.37;mm;7
Luminosité;49179.85;lux;8
Vitesse du vent;34.21;km/h;9
Humidité du sol;55.45;%;4
pH du sol;7.39;pH;5
Pluviométrie;5.74;mm;7
Luminosité;87780.02;lux;8
Vitesse du vent;17.82;km/h;9
Humidité du sol;43.62;%;4
pH du sol;6.64;pH;5
Pluviométrie;2.62;mm;7
Luminosité;63759.63;lux;8
Vitesse du vent;10.07;km/h;9
Humidité du sol;46.64;%;4
pH du sol;7.15;pH;5
Pluviométrie;7.28;mm;7
Luminosité;89295.24;lux;8
Vitesse du vent;32.72;km/h;9
Humidité du sol;40.86;%;4
pH du sol;6.04;pH;5
Pluviométrie;7.94;mm;7
Luminosité;6760.57;lux;8
Vitesse du vent;7.32;km/h;9
Humidité du sol;63.96;%;4
pH du sol;6.37;pH;5
Pluviométrie;0.31;mm;7
Luminosité;8371.39;lux;8
Vitesse du vent;24.32;km/h;9
Humidité du sol;42.42;%;4
pH du sol;6.37;pH;5
Pluviométrie;5.33;mm;7
Luminosité;69387.76;lux;8
Vitesse du vent;17.97;km/h;9
Luminosité;81031.66;lux;8
Vitesse du vent;18.46;km/h;9
Humidité du sol;65.31;%;4
pH du sol;7.21;pH;5
Pluviométrie;8.26;mm;7
Humidité du sol;46.95;%;4
pH du sol;6.96;pH;5
Pluviométrie;1.4;mm;7
Luminosité;45231.34;lux;8
Vitesse du vent;46.26;km/h;9
Humidité du sol;61.07;%;4
pH du sol;6.18;pH;5
Pluviométrie;3.94;mm;7
Luminosité;80392.83;lux;8
Vitesse du vent;39.25;km/h;9
Humidité du sol;62.96;%;4
pH du sol;6.75;pH;5
Pluviométrie;1.88;mm;7
Luminosité;88934.7;lux;8
Vitesse du vent;0.41;km/h;9
Humidité du sol;72.36;%;4
pH du sol;7.42;pH;5
Pluviométrie;4.48;mm;7
Luminosité;39808.66;lux;8
Vitesse du vent;27.21;km/h;9
Humidité du sol;71.54;%;4
pH du sol;7.22;pH;5
Pluviométrie;8.14;mm;7
Luminosité;19134.5;lux;8
Vitesse du vent;37.41;km/h;9
Humidité du sol;75.57;%;4
pH du sol;7.15;pH;5
Pluviométrie;3.86;mm;7
Luminosité;22886.05;lux;8
Vitesse du vent;9.48;km/h;9
Humidité du sol;50.03;%;4
pH du sol;6.68;pH;5
Pluviométrie;8.49;mm;7
Luminosité;38561.76;lux;8
Vitesse du vent;30.02;km/h;9
Humidité du sol;77.1;%;4
pH du sol;7.21;pH;5
Pluviométrie;0.52;mm;7
Luminosité;97750.3;lux;8
Vitesse du vent;10.71;km/h;9
Humidité du sol;66.15;%;4
pH du sol;6.69;pH;5
Pluviométrie;2.81;mm;7
Luminosité;63173.51;lux;8
Vitesse du vent;2.73;km/h;9
Humidité du sol;44.3;%;4
pH du sol;6.93;pH;5
Pluviométrie;7.3;mm;7
Luminosité;47901.65;lux;8
Vitesse du vent;4.68;km/h;9
Humidité du sol;45.48;%;4
pH du sol;7.46;pH;5
Pluviométrie;9.24;mm;7
Luminosité;21401.97;lux;8
Vitesse du vent;10.99;km/h;9
Humidité du sol;74.43;%;4
pH du sol;7.38;pH;5
Pluviométrie;0.32;mm;7
Luminosité;35618.87;lux;8
Vitesse du vent;10.11;km/h;9
pH du sol;6.46;pH;5
Pluviométrie;4.87;mm;7
Luminosité;93994.37;lux;8
Vitesse du vent;37.49;km/h;9
Humidité du sol;43.37;%;4
Humidité du sol;40.03;%;4
pH du sol;6.75;pH;5
Pluviométrie;8.59;mm;7
Luminosité;42716.61;lux;8
Vitesse du vent;7.58;km/h;9
Humidité du sol;56.12;%;4
pH du sol;6.71;pH;5
Pluviométrie;9.39;mm;7
Luminosité;92666.35;lux;8
Vitesse du vent;34.23;km/h;9
Pluviométrie;4.89;mm;7
Luminosité;11441.24;lux;8
Vitesse du vent;48.36;km/h;9
Humidité du sol;49.0;%;4
pH du sol;6.94;pH;5
Humidité du sol;70.54;%;4
pH du sol;6.42;pH;5
Pluviométrie;9.55;mm;7
Luminosité;10186.76;lux;8
Vitesse du vent;47.82;km/h;9
Humidité du sol;52.65;%;4
pH du sol;6.93;pH;5
Pluviométrie;2.32;mm;7
Luminosité;35991.08;lux;8
Vitesse du vent;16.81;km/h;9
pH du sol;6.43;pH;5
Pluviométrie;1.61;mm;7
Luminosité;91310.56;lux;8
Vitesse du vent;37.59;km/h;9
Humidité du sol;67.97;%;4
Humidité du sol;46.38;%;4
pH du sol;7.09;pH;5
Pluviométrie;4.23;mm;7
Luminosité;16680.75;lux;8
Vitesse du vent;6.73;km/h;9
Pluviométrie;3.93;mm;7
Luminosité;1606.08;lux;8
Vitesse du vent;8.69;km/h;9
Humidité du sol;52.43;%;4
pH du sol;7.17;pH;5
Humidité du sol;66.83;%;4
pH du sol;7.04;pH;5
Pluviométrie;9.04;mm;7
Luminosité;21617.27;lux;8
Vitesse du vent;49.29;km/h;9
Humidité du sol;53.44;%;4
pH du sol;7.11;pH;5
Pluviométrie;2.08;mm;7
Luminosité;98417.6;lux;8
Vitesse du vent;7.17;km/h;9
Humidité du sol;79.23;%;4
pH du sol;7.13;pH;5
Pluviométrie;8.15;mm;7
Luminosité;22273.93;lux;8
Vitesse du vent;12.86;km/h;9
Humidité du sol;56.96;%;4
pH du sol;6.24;pH;5
Pluviométrie;7.05;mm;7
Luminosité;77752.96;lux;8
Vitesse du vent;13.81;km/h;9
Pluviométrie;9.92;mm;7
Luminosité;36372.69;lux;8
Vitesse du vent;15.0;km/h;9
Humidité du sol;50.08;%;4
pH du sol;7.33;pH;5
Humidité du sol;62.94;%;4
pH du sol;6.87;pH;5
Pluviométrie;9.74;mm;7
Luminosité;55295.16;lux;8
Vitesse du vent;27.63;km/h;9
Humidité du sol;45.21;%;4
pH du sol;6.22;pH;5
Pluviométrie;0.05;mm;7
Luminosité;68862.77;lux;8
Vitesse du vent;44.77;km/h;9
Humidité du sol;42.16;%;4
pH du sol;7.17;pH;5
Pluviométrie;0.52;mm;7
Luminosité;91928.44;lux;8
Vitesse du vent;41.99;km/h;9
Humidité du sol;73.01;%;4
pH du sol;6.75;pH;5
Pluviométrie;7.09;mm;7
Luminosité;84088.72;lux;8
Vitesse du vent;19.67;km/h;9
Humidité du sol;50.36;%;4
pH du sol;7.37;pH;5
Pluviométrie;5.01;mm;7
Luminosité;82421.64;lux;8
Vitesse du vent;0.65;km/h;9
Humidité du sol;61.39;%;4
pH du sol;6.55;pH;5
Pluviométrie;3.25;mm;7
Luminosité;86017.21;lux;8
Vitesse du vent;4.81;km/h;9
Humidité du sol;51.45;%;4
pH du sol;6.6;pH;5
Pluviométrie;1.48;mm;7
Luminosité;92244.38;lux;8
Vitesse du vent;0.96;km/h;9
Humidité du sol;70.85;%;4
pH du sol;6.58;pH;5
Pluviométrie;6.65;mm;7
Luminosité;3134.41;lux;8
Vitesse du vent;0.18;km/h;9
Humidité du sol;64.95;%;4
pH du sol;6.18;pH;5
Pluviométrie;0.78;mm;7
Luminosité;6799.86;lux;8
Vitesse du vent;36.84;km/h;9
Humidité du sol;41.2;%;4
pH du sol;7.24;pH;5
Pluviométrie;9.64;mm;7
Luminosité;95344.71;lux;8
Vitesse du vent;36.82;km/h;9
Pluviométrie;9.83;mm;7
Luminosité;15464.94;lux;8
Vitesse du vent;6.69;km/h;9
Humidité du sol;74.36;%;4
pH du sol;6.14;pH;5
Humidité du sol;54.83;%;4
pH du sol;6.85;pH;5
Pluviométrie;7.82;mm;7
Luminosité;83895.21;lux;8
Vitesse du vent;11.34;km/h;9
Humidité du sol;59.49;%;4
pH du sol;6.17;pH;5
Pluviométrie;6.73;mm;7
Luminosité;51240.13;lux;8
Vitesse du vent;0.08;km/h;9
Humidité du sol;62.79;%;4
pH du sol;6.14;pH;5
Pluviométrie;1.63;mm;7
Luminosité;74326.86;lux;8
Vitesse du vent;38.49;km/h;9
pH du sol;6.58;pH;5
Pluviométrie;2.55;mm;7
Luminosité;52349.97;lux;8
Vitesse du vent;36.75;km/h;9
Humidité du sol;58.26;%;4
Humidité du sol;48.71;%;4
pH du sol;7.04;pH;5
Pluviométrie;3.88;mm;7
Luminosité;74442.78;lux;8
Vitesse du vent;23.48;km/h;9
Humidité du sol;69.67;%;4
pH du sol;7.24;pH;5
Pluviométrie;2.38;mm;7
Luminosité;39098.12;lux;8
Vitesse du vent;33.64;km/h;9
Humidité du sol;59.77;%;4
pH du sol;7.35;pH;5
Pluviométrie;0.62;mm;7
Luminosité;45270.72;lux;8
Vitesse du vent;38.9;km/h;9
Humidité du sol;69.95;%;4
pH du sol;7.33;pH;5
Pluviométrie;9.62;mm;7
Luminosité;70207.44;lux;8
Vitesse du vent;38.33;km/h;9
Humidité du sol;48.47;%;4
pH du sol;7.22;pH;5
Pluviométrie;0.87;mm;7
Luminosité;8402.96;lux;8
Vitesse du vent;16.69;km/h;9
Humidité du sol;73.58;%;4
pH du sol;6.89;pH;5
Pluviométrie;0.08;mm;7
Luminosité;20575.6;lux;8
Vitesse du vent;11.02;km/h;9
Humidité du sol;46.38;%;4
pH du sol;6.77;pH;5
Pluviométrie;8.94;mm;7
Luminosité;6622.01;lux;8
Vitesse du vent;30.75;km/h;9
Humidité du sol;77.24;%;4
pH du sol;7.35;pH;5
Pluviométrie;6.19;mm;7
Luminosité;98384.96;lux;8
Vitesse du vent;34.98;km/h;9
Humidité du sol;73.42;%;4
pH du sol;6.32;pH;5
Pluviométrie;8.49;mm;7
Luminosité;94305.49;lux;8
Vitesse du vent;34.79;km/h;9
Humidité du sol;71.2;%;4
pH du sol;6.4;pH;5
Pluviométrie;2.64;mm;7
Luminosité;20445.29;lux;8
Vitesse du vent;10.4;km/h;9
Humidité du sol;79.56;%;4
pH du sol;6.8;pH;5
Pluviométrie;7.86;mm;7
Luminosité;73377.27;lux;8
Vitesse du vent;16.0;km/h;9
Humidité du sol;78.92;%;4
pH du sol;6.99;pH;5
Pluviométrie;7.19;mm;7
Luminosité;24038.25;lux;8
Vitesse du vent;18.0;km/h;9
Humidité du sol;43.06;%;4
pH du sol;7.31;pH;5
Pluviométrie;2.35;mm;7
Luminosité;37118.28;lux;8
Vitesse du vent;9.09;km/h;9
Humidité du sol;45.44;%;4
pH du sol;7.11;pH;5
Pluviométrie;2.18;mm;7
Luminosité;29669.81;lux;8
Vitesse du vent;39.95;km/h;9
Humidité du sol;78.93;%;4
pH du sol;6.74;pH;5
Pluviométrie;3.49;mm;7
Luminosité;34709.96;lux;8
Vitesse du vent;24.92;km/h;9
Humidité du sol;78.17;%;4
pH du sol;7.33;pH;5
Pluviométrie;5.85;mm;7
Luminosité;68154.85;lux;8
Vitesse du vent;18.76;km/h;9
Vitesse du vent;15.73;km/h;9
Humidité du sol;52.63;%;4
pH du sol;6.24;pH;5
Pluviométrie;5.97;mm;7
Luminosité;24054.83;lux;8
Humidité du sol;71.56;%;4
pH du sol;6.41;pH;5
Pluviométrie;5.34;mm;7
Luminosité;39911.23;lux;8
Vitesse du vent;48.27;km/h;9
Humidité du sol;50.96;%;4
pH du sol;6.23;pH;5
Pluviométrie;4.39;mm;7
Luminosité;12950.57;lux;8
Vitesse du vent;27.83;km/h;9
Vitesse du vent;26.51;km/h;9
Humidité du sol;69.05;%;4
pH du sol;6.23;pH;5
Pluviométrie;9.59;mm;7
Luminosité;63894.76;lux;8
Humidité du sol;61.67;%;4
pH du sol;7.48;pH;5
Pluviométrie;2.95;mm;7
Luminosité;36020.02;lux;8
Vitesse du vent;41.29;km/h;9
Humidité du sol;62.76;%;4
pH du sol;6.24;pH;5
Pluviométrie;5.81;mm;7
Luminosité;59221.08;lux;8
Vitesse du vent;18.51;km/h;9
Humidité du sol;72.28;%;4
pH du sol;7.27;pH;5
Pluviométrie;6.23;mm;7
Luminosité;69274.54;lux;8
Vitesse du vent;21.67;km/h;9
Humidité du sol;44.53;%;4
pH du sol;6.75;pH;5
Pluviométrie;8.59;mm;7
Luminosité;98805.25;lux;8
Vitesse du vent;47.73;km/h;9
Humidité du sol;76.07;%;4
pH du sol;6.84;pH;5
Pluviométrie;7.17;mm;7
Luminosité;8499.04;lux;8
Vitesse du vent;0.28;km/h;9
Humidité du sol;40.39;%;4
pH du sol;6.35;pH;5
Pluviométrie;8.47;mm;7
Luminosité;59007.3;lux;8
Vitesse du vent;5.57;km/h;9
Humidité du sol;61.65;%;4
pH du sol;6.65;pH;5
Pluviométrie;6.99;mm;7
Luminosité;35733.08;lux;8
Vitesse du vent;31.67;km/h;9
Pluviométrie;8.31;mm;7
Luminosité;47762.08;lux;8
Vitesse du vent;25.32;km/h;9
Humidité du sol;73.59;%;4
pH du sol;7.16;pH;5
Humidité du sol;67.3;%;4
pH du sol;6.2;pH;5
Pluviométrie;9.83;mm;7
Luminosité;8831.91;lux;8
Vitesse du vent;16.17;km/h;9
Humidité du sol;66.64;%;4
pH du sol;6.25;pH;5
Pluviométrie;0.49;mm;7
Luminosité;4842.14;lux;8
Vitesse du vent;2.92;km/h;9
Humidité du sol;63.96;%;4
pH du sol;6.35;pH;5
Pluviométrie;2.51;mm;7
Luminosité;45094.44;lux;8
Vitesse du vent;22.46;km/h;9
Humidité du sol;41.81;%;4
pH du sol;7.11;pH;5
Pluviométrie;0.36;mm;7
Luminosité;56124.2;lux;8
Vitesse du vent;47.95;km/h;9
Humidité du sol;71.22;%;4
pH du sol;6.52;pH;5
Pluviométrie;2.94;mm;7
Luminosité;72248.94;lux;8
Vitesse du vent;44.57;km/h;9
pH du sol;7.33;pH;5
Pluviométrie;4.73;mm;7
Luminosité;99812.65;lux;8
Vitesse du vent;41.08;km/h;9
Humidité du sol;68.25;%;4
Humidité du sol;76.29;%;4
pH du sol;6.45;pH;5
Pluviométrie;3.37;mm;7
Luminosité;34129.22;lux;8
Vitesse du vent;48.38;km/h;9
Humidité du sol;55.98;%;4
pH du sol;6.7;pH;5
Pluviométrie;7.21;mm;7
Luminosité;32116.19;lux;8
Vitesse du vent;37.29;km/h;9
Humidité du sol;67.7;%;4
pH du sol;6.6;pH;5
Pluviométrie;5.39;mm;7
Luminosité;99328.94;lux;8
Vitesse du vent;34.98;km/h;9
Humidité du sol;67.87;%;4
pH du sol;6.21;pH;5
Pluviométrie;3.33;mm;7
Luminosité;23269.64;lux;8
Vitesse du vent;16.19;km/h;9
Humidité du sol;58.12;%;4
pH du sol;6.82;pH;5
Pluviométrie;7.19;mm;7
Luminosité;62212.43;lux;8
Vitesse du vent;18.17;km/h;9
Humidité du sol;41.02;%;4
pH du sol;6.02;pH;5
Pluviométrie;9.7;mm;7
Luminosité;51618.85;lux;8
Vitesse du vent;8.11;km/h;9
Humidité du sol;52.57;%;4
pH du sol;6.8;pH;5
Pluviométrie;7.06;mm;7
Luminosité;15637.12;lux;8
Vitesse du vent;27.59;km/h;9
Humidité du sol;50.7;%;4
pH du sol;6.43;pH;5
Pluviométrie;8.0;mm;7
Luminosité;27649.58;lux;8
Vitesse du vent;20.96;km/h;9
Humidité du sol;73.28;%;4
pH du sol;7.13;pH;5
Pluviométrie;6.62;mm;7
Luminosité;76450.23;lux;8
Vitesse du vent;21.43;km/h;9
Humidité du sol;78.31;%;4
pH du sol;7.12;pH;5
Pluviométrie;1.06;mm;7
Luminosité;22756.13;lux;8
Vitesse du vent;49.23;km/h;9
Humidité du sol;54.96;%;4
pH du sol;6.86;pH;5
Pluviométrie;4.09;mm;7
Luminosité;50319.01;lux;8
Vitesse du vent;31.11;km/h;9
Vitesse du vent;31.28;km/h;9
Humidité du sol;77.72;%;4
pH du sol;6.31;pH;5
Pluviométrie;3.48;mm;7
Luminosité;7105.7;lux;8
Humidité du sol;41.22;%;4
pH du sol;6.75;pH;5
Pluviométrie;1.01;mm;7
Luminosité;88209.18;lux;8
Vitesse du vent;20.87;km/h;9
Humidité du sol;49.83;%;4
pH du sol;6.41;pH;5
Pluviométrie;9.0;mm;7
Luminosité;7660.59;lux;8
Vitesse du vent;15.5;km/h;9
Humidité du sol;62.08;%;4
pH du sol;7.15;pH;5
Pluviométrie;3.43;mm;7
Luminosité;25867.18;lux;8
Vitesse du vent;5.54;km/h;9
Humidité du sol;61.3;%;4
pH du sol;6.93;pH;5
Pluviométrie;1.58;mm;7
Luminosité;24745.09;lux;8
Vitesse du vent;32.88;km/h;9
Humidité du sol;66.99;%;4
pH du sol;6.69;pH;5
Pluviométrie;1.23;mm;7
Luminosité;96145.91;lux;8
Vitesse du vent;19.18;km/h;9
Humidité du sol;77.72;%;4
pH du sol;6.32;pH;5
Pluviométrie;3.48;mm;7
Luminosité;1456.86;lux;8
Vitesse du vent;43.96;km/h;9
Humidité du sol;64.94;%;4
pH du sol;6.82;pH;5
Pluviométrie;7.91;mm;7
Luminosité;47264.03;lux;8
Vitesse du vent;29.49;km/h;9
Humidité du sol;63.79;%;4
pH du sol;6.89;pH;5
Pluviométrie;1.76;mm;7
Luminosité;72185.96;lux;8
Vitesse du vent;12.12;km/h;9
Humidité du sol;69.41;%;4
pH du sol;7.32;pH;5
Pluviométrie;6.35;mm;7
Luminosité;27899.78;lux;8
